frame,time_sec,slot_id,track_id,img_foot_x,img_foot_y,court_x_m,court_y_m
168,5.6,1,0,1150,483,4.646,1.824
168,5.6,0,1,918,937,2.876,11.464
169,5.633,1,0,1137,483,4.542,1.824
169,5.633,0,1,903,936,2.79,11.448
170,5.667,1,0,1123,483,4.431,1.823
170,5.667,0,1,898,935,2.761,11.433
171,5.7,1,0,1110,481,4.33,1.763
171,5.7,0,1,897,939,2.756,11.494
172,5.733,1,0,1110,481,4.33,1.763
172,5.733,0,1,897,939,2.756,11.494
173,5.767,1,0,1096,482,4.218,1.792
173,5.767,0,1,903,937,2.79,11.464
174,5.8,1,0,1090,506,4.148,2.487
174,5.8,0,1,910,932,2.83,11.387
175,5.833,1,0,1084,467,4.136,1.343
175,5.833,0,1,913,927,2.846,11.31
176,5.867,1,0,1079,526,4.046,3.044
176,5.867,0,1,913,927,2.846,11.31
177,5.9,1,0,1079,526,4.046,3.044
177,5.9,0,1,913,927,2.846,11.31
178,5.933,1,0,1056,543,3.859,3.503
178,5.933,0,1,909,920,2.822,11.201
179,5.967,1,0,1031,548,3.667,3.635
179,5.967,0,1,908,920,2.816,11.2
180,6.0,1,0,1030,548,3.66,3.635
180,6.0,0,1,907,916,2.81,11.138
181,6.033,1,0,1023,548,3.607,3.635
181,6.033,0,1,903,912,2.786,11.075
182,6.067,1,0,1023,548,3.607,3.635
182,6.067,0,1,903,912,2.786,11.075
183,6.1,1,0,1018,548,3.57,3.634
183,6.1,0,1,903,912,2.786,11.075
184,6.133,1,0,1019,545,3.578,3.555
184,6.133,0,1,900,912,2.769,11.075
185,6.167,1,0,1018,547,3.57,3.608
185,6.167,0,1,897,914,2.752,11.106
186,6.2,1,0,1015,540,3.55,3.421
186,6.2,0,1,895,917,2.741,11.153
187,6.233,1,0,1015,540,3.55,3.421
187,6.233,0,1,895,917,2.741,11.153
188,6.267,1,0,1011,539,3.52,3.394
188,6.267,0,1,893,915,2.729,11.122
189,6.3,1,0,1003,532,3.462,3.205
189,6.3,0,1,889,915,2.705,11.122
190,6.333,1,0,1005,525,3.48,3.014
190,6.333,0,1,893,916,2.729,11.137
191,6.367,1,0,1010,527,3.517,3.069
191,6.367,0,1,891,915,2.717,11.122
192,6.4,1,0,1010,527,3.517,3.069
192,6.4,0,1,890,916,2.711,11.137
193,6.433,1,0,1018,524,3.58,2.987
193,6.433,0,1,897,915,2.752,11.122
194,6.467,1,0,1019,471,3.611,1.461
194,6.467,0,1,902,916,2.781,11.138
195,6.5,1,0,1022,524,3.61,2.987
195,6.5,0,1,905,915,2.798,11.122
196,6.533,1,0,1033,470,3.724,1.432
196,6.533,0,1,919,915,2.879,11.122
197,6.567,1,0,1033,470,3.724,1.432
197,6.567,0,1,919,915,2.879,11.122
198,6.6,1,0,1035,470,3.74,1.432
198,6.6,0,1,929,915,2.937,11.123
199,6.633,1,0,1040,485,3.771,1.878
199,6.633,0,1,938,915,2.99,11.123
200,6.667,1,0,1059,485,3.922,1.879
200,6.667,0,1,939,915,2.995,11.123
201,6.7,1,0,1054,514,3.862,2.711
201,6.7,0,1,943,915,3.019,11.123
202,6.733,1,0,1054,514,3.862,2.711
202,6.733,0,1,943,915,3.019,11.123
203,6.767,1,0,1064,512,3.941,2.655
203,6.767,0,1,946,910,3.036,11.044
204,6.8,1,0,1076,506,4.039,2.486
204,6.8,0,1,951,910,3.065,11.044
205,6.833,1,0,1080,485,4.088,1.88
205,6.833,0,1,961,910,3.123,11.044
206,6.867,1,0,1090,485,4.167,1.881
206,6.867,0,1,959,910,3.112,11.044
207,6.9,1,0,1090,485,4.167,1.881
207,6.9,0,1,960,910,3.117,11.044
208,6.933,1,0,1094,473,4.211,1.524
208,6.933,0,1,962,910,3.129,11.044
209,6.967,1,0,1096,468,4.232,1.374
209,6.967,0,1,962,908,3.129,11.013
210,7.0,1,0,1104,467,4.297,1.344
210,7.0,0,1,962,912,3.129,11.076
211,7.033,1,0,1109,461,4.344,1.161
211,7.033,0,1,963,908,3.135,11.013
212,7.067,1,0,1109,461,4.344,1.161
212,7.067,0,1,963,908,3.135,11.013
213,7.1,1,0,1115,455,4.4,0.977
213,7.1,0,1,970,908,3.176,11.013
214,7.133,1,0,1116,463,4.399,1.223
214,7.133,0,1,972,910,3.187,11.045
215,7.167,1,0,1120,466,4.427,1.314
215,7.167,0,1,973,915,3.193,11.124
216,7.2,1,0,1125,465,4.469,1.284
216,7.2,0,1,974,916,3.198,11.139
217,7.233,1,0,1125,465,4.469,1.284
217,7.233,0,1,974,916,3.198,11.139
218,7.267,1,0,1125,465,4.469,1.284
218,7.267,0,1,973,916,3.193,11.139
219,7.3,1,0,1132,467,4.523,1.345
219,7.3,0,1,967,918,3.158,11.171
220,7.333,1,0,1132,467,4.523,1.345
220,7.333,0,1,965,915,3.146,11.124
221,7.367,1,0,1132,467,4.523,1.345
221,7.367,0,1,960,912,3.117,11.076
222,7.4,1,0,1132,467,4.523,1.345
222,7.4,0,1,960,912,3.117,11.076
223,7.433,1,0,1130,468,4.505,1.375
223,7.433,0,1,945,912,3.03,11.076
224,7.467,1,0,1127,465,4.485,1.284
224,7.467,0,1,936,916,2.978,11.138
225,7.5,1,0,1123,465,4.453,1.284
225,7.5,0,1,923,922,2.903,11.232
226,7.533,1,0,1121,468,4.433,1.375
226,7.533,0,1,916,925,2.863,11.279
227,7.567,1,0,1121,468,4.433,1.375
227,7.567,0,1,916,925,2.863,11.279
228,7.6,1,0,1122,468,4.441,1.375
228,7.6,0,1,910,931,2.83,11.371
229,7.633,1,0,1119,468,4.417,1.375
229,7.633,0,1,904,936,2.796,11.448
230,7.667,1,0,1110,468,4.344,1.375
230,7.667,0,1,897,944,2.757,11.57
231,7.7,1,0,1095,468,4.224,1.374
231,7.7,0,1,892,953,2.731,11.706
232,7.733,1,0,1094,468,4.216,1.374
232,7.733,0,1,892,953,2.731,11.706
233,7.767,1,0,1080,468,4.103,1.373
233,7.767,0,1,860,964,2.553,11.869
234,7.8,1,0,1057,468,3.918,1.372
234,7.8,0,1,847,980,2.485,12.104
235,7.833,1,0,1049,468,3.854,1.372
235,7.833,0,1,837,980,2.429,12.104
236,7.867,1,0,1032,468,3.717,1.371
236,7.867,0,1,819,996,2.336,12.334
237,7.9,1,0,1032,468,3.717,1.371
237,7.9,0,1,819,996,2.336,12.334
238,7.933,1,0,1024,469,3.652,1.401
238,7.933,0,1,806,1009,2.27,12.517
